COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(S)1_Batch4,QC(S)2_Batch4,QC(S)3_Batch4,QC(S)4_Batch4,QC(S)5_Batch4,QC(S)6_Batch5,QC(S)7_Batch5,QC(S)8_Batch5,QC(S)9_Batch5,QC(S)10_Batch5,QC(S)11_Batch6,QC(S)12_Batch6,QC(S)13_Batch6,QC(S)14_Batch6,QC(S)15_Batch6,QC(S)16_Batch7,QC(S)17_Batch7,QC(S)18_Batch7,QC(S)19_Batch7,QC(S)20_Batch7
Norepinephrine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
n-Glycylproline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arginine,143797974,141700326,141286366,134107367,128886023,127125412,122366154,121617943,111888402,108937858,108049369,104579189,113107740,98152517,97394930,104818487,92301809,88087419,96077615,93503483,130903490,123662722,121335377,116501212,109901351,113690093,109676440,104425122,100039751,97637131,98931169,88863108,90260879,88794318,91185464,89660271,89347134,89861255,82398360,85850873
N-Acetylornithine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cotinine,318562,317580,329819,320335,322030,307162,293655,295753,286824,284597,294881,278479,275086,266345,261051,261842,263611,258556,245812,242896,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cysteinyl-Glycine (Cys-Gly),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gluconolactone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucosamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theobromine,487856,446904,474947,499848,519540,512321,486300,519614,509613,448642,485142,483736,453616,451640,486438,476135,459003,470569,461055,464468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"1,7-Dimethylxanthine",1201875,1161009,1131583,1149428,1146048,1190075,1111068,1167066,1012734,1023624,1152814,1076095,1032556,1022765,1081189,1098611,1030793,1083043,1005906,975026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyrosine,2952056,3043433,2935464,2820471,2941665,2934290,2755831,2824921,2739427,2701999,2623334,2606432,2565676,2495010,2514439,2431589,2407426,2442452,2363800,2274631,2400591,2329226,2129569,2220972,2226509,2101942,2272659,2172724,2208998,2160404,2238541,1912515,2017725,1977842,1858532,1873878,1900684,1919035,1768878,1877287
Epinephrine,859692,744182,735648,698077,804334,757031,661428,696365,655859,618299,629303,573254,641465,588309,583708,544001,525746,505032,517392,515567,869721,922413,852813,798684,768313,747451,815560,720667,712340,789239,712780,671248,687380,680140,669952,629325,643970,641466,563758,614882
Se-Methylselenocysteine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphorylcholine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N6-Acetyl-Lysine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,343521,347065,306255,291127,297672,297399,283725,255482,248030,271507,249843,230021,264126,225177,248451,226718,241203,206575,213960,196456
Homoarginine,5188089,5068701,4738992,4570921,4262433,3957274,3757188,4044667,3850642,3106168,3266508,3043858,3099303,2848954,2743938,2554634,2707049,2254806,2416869,2457347,3166188,3270908,2982662,2825420,2699835,2702409,2522238,2540585,2265109,2357676,2182113,1792301,2067870,1979319,1912195,1993231,1994087,2065213,1618995,1936147
N6-Trimethyllysine,13269457,12683220,12811220,12195519,11277399,11518322,10148929,11115621,9737854,9506753,10021134,8608708,9471285,8216317,8916171,8008415,8120959,6316329,7624360,7804306,15593444,16023420,15153002,14573166,14199373,14336963,13699569,13302449,13222436,12991472,12964738,9820097,12085762,12019580,11795012,13122451,12256589,12160810,9806625,11550118
Homocitrulline,227607,251072,229816,241696,234991,210491,200337,191972,197815,199913,163503,176754,124630,151395,148226,147608,161704,127568,132415,137189,935912,893549,867869,889766,820097,764938,702179,711707,680089,605121,681389,561668,515024,653953,546761,617859,555868,576141,533805,592269
Caffeine,11381973,11728654,11812544,11540010,11581011,11421601,10900856,11230359,10606755,10492557,10589199,10049052,10307579,10220963,9996027,10176881,9935327,9894831,9584310,9505599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Salicylurate,42221,43419,35853,40575,39529,38491,38903,43023,37176,37292,42119,40667,36233,34534,36105,39667,37637,34588,36736,34477,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DL DOPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,131766,165885,162941,170757,166283,167906,163503,153669,133150,130723,150597,130525,135203,127383,117710,115841,120935,121140,112843,127405
Selenomethionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dimethylarginine (A/SDMA),9977276,9578499,9501711,9457820,8558238,8651747,8058943,7909114,7192505,7227540,7533813,6845141,6944069,6178526,5832804,5807692,5914708,4553604,5639588,5328236,22516468,20919090,20266395,18696853,19722541,19195590,17528047,16532017,16371609,15666721,16294504,12657012,13741693,13973027,13779049,14682280,13144354,14092268,10605676,12792264
Spermine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Indolebutyric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetylcarnitine,43077964,35903987,35248223,34472811,32129651,30183747,30158087,34327138,28648412,25596948,25287813,26635140,23537592,24226917,25954686,23301244,23879765,22086137,22646621,23417105,11295126,9495909,8757175,8458130,7518214,8580561,8990100,8876756,7423725,6881858,6945807,6798226,5867728,6794492,7834410,7527313,6488569,7960355,7352413,7376049
Tryptophan,15881479,15721272,15463110,15167229,14674657,14825805,13942478,13512188,13222097,12913710,12776145,12097977,12209605,11676614,11833705,11958393,11428333,10927870,10871815,10612179,20348336,19991381,19850878,19194714,19173743,18707789,18282017,17981255,17149075,16774956,16793541,16204752,15959053,14922113,15489009,14932620,14883568,14545609,14348676,14469585
L-Kynurenine,238338,209841,221506,199162,215693,218200,217890,202789,175326,190959,183215,160919,175617,164197,159026,173006,167749,161223,148436,134762,322143,333132,333135,301541,314118,289398,306198,294895,308548,269191,299625,283609,260472,246810,265415,261804,251569,258758,229328,242139
Phosphocreatine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Arginine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carnosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28839543,27700229,27718046,27618032,27433251,27062396,26285392,26739094,25675259,23960144,24221626,20627083,21475628,21863844,21435573,20623481,21827941,22019106,20080757,20962267
2-Deoxycytidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4775873,4784258,4794194,4767706,4646837,4654237,4413635,4337351,4106144,4012097,3994506,3755886,3773088,3691471,3584415,3573433,3437025,3418848,3344038,3209630
2-Deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Biopterin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anserine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4882353,4800239,4612376,4448344,4256256,4449070,4072956,4204162,3730819,3614295,3788411,3195569,3021779,2958381,3151887,2886739,3150878,3325551,2828709,2991825
Cystine,138882,139979,119814,100433,109409,119668,124454,132198,105178,103856,107652,96876,104235,93793,88432,76688,87471,87511,85978,64296,718200,818806,770714,773177,691766,663672,654868,595103,539013,537748,508409,535013,503782,580185,628350,594369,593997,588058,556424,536784
Cytidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,705234,677551,701100,632289,623221,653472,614600,579202,556320,554008,545268,503225,486482,502844,487456,486647,484632,459171,483784,463515
Uridine,1061971,1082275,1104666,1108437,1116810,1082782,1103828,1078863,981062,992200,996670,932829,937112,909558,929022,866772,867684,861928,866921,865657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
isoValerylcarnitine,5305676,4953258,5110613,4447833,4188345,4218211,3669907,3759252,3509831,3498839,3326625,3018287,3016695,2856373,2852514,2790966,2671475,2423301,2428269,2329972,4641840,4189677,4330436,3961937,3590028,3529083,3289612,3116003,2932908,2891337,2836578,2568322,2557928,2482470,2462236,2388053,2215475,2125623,2044433,2058282
Neopterin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerophosphocholine,47595819,49858528,46493871,43062329,41418426,42179390,40099559,39029681,37682021,36001022,37042247,32104799,25084340,31796510,29664704,25049037,27659645,27141757,27134050,26192775,37689194,38065943,35198785,36740699,35129730,35377339,31791704,31838765,31372744,29845311,28584257,27231840,30529579,26575371,23594878,25796154,25124334,26125779,24572476,25341523
5-Methylcytidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6741932,6718113,6632519,6373797,6499597,6244356,6318830,6333351,5761788,5772626,5756878,5543684,5375904,5504693,5579080,5393915,5218728,5326416,5180213,5075407
Phosphotyrosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Succinylcarnitine,873727,834155,842063,773116,727175,699752,649500,675411,585245,608156,593620,530559,456632,561250,515303,397753,469589,362172,435543,459484,1028371,1066203,1009661,995279,850039,930353,827528,810692,775582,769346,769181,573831,473715,686292,650292,618251,676892,696407,648595,669006
Thiamine,98209,97830,104495,83097,102900,90233,108890,74134,91175,81271,97228,82265,85537,80762,79490,79218,86447,77281,68084,70606,553026,579638,620365,616892,642503,673708,631789,651580,646610,583791,597336,597814,626993,589510,606526,614617,540422,611270,598055,588221
"2,3-Diphosphoglyceric Acid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deoxyguanosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adenosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,244562,244961,244289,232833,232575,223373,204861,215644,195322,199171,204211,194723,195210,181539,192493,191745,181516,184131,181806,184841
Inosine,98868,98115,98357,97336,92492,94424,89584,86088,88124,79814,77840,74049,75740,72175,76678,79968,70508,73609,71654,63475,3115904,3096283,3153814,3015488,3101654,2918131,2996089,2826425,2740378,2600308,2573241,2504369,2465253,2428826,2422652,2393471,2327406,2365910,2208001,2167551
Glutarylcarnitine,1035931,1054365,958379,943828,819113,853623,829553,670250,718545,707740,649060,543178,616010,525693,460852,366548,419599,401675,424707,362940,812109,735568,828529,655875,580494,587057,538026,483604,507255,427839,411926,335884,424099,385382,288595,284941,328902,331418,316619,305671
1-Methyladenosine,493217,423646,401558,351129,379602,378380,359611,326978,336931,324031,338127,290465,317539,301531,299985,291168,291783,288392,309411,287875,225698,214959,185404,177957,153216,157489,167922,161633,140324,149520,139523,154779,111928,137735,144057,126130,123814,107846,120192,132490
6-Methyladenosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guanosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50393,48612,52365,53050,60700,40941,51668,42635,56457,48239,36888,39226,40235,40963,37689,39512,32188,42548,38086,39392
Retinal,24534,23110,24556,24366,24517,25906,25480,24634,23846,24386,22421,22396,20079,20802,23512,24327,23576,22617,22972,22769,4671,4735,4731,4438,5097,4586,4811,5420,5601,4920,5786,5316,4495,4409,4723,4163,4435,4341,4567,4159
Retinol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argininosuccinate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-Methylthioadenosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"N2,N2-Dimethylguanosine",447209,455662,462460,435843,425409,412661,394502,410394,377005,364676,381005,347827,355008,341742,344732,327414,327832,329383,320548,310879,1549689,1521837,1545384,1540210,1469814,1403010,1420647,1379659,1325343,1291245,1263512,1218770,1228519,1205461,1227255,1152095,1176791,1197281,1122121,1136100
UMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Riboflavin,42397,38290,42237,42574,43975,41785,42104,40631,36137,35712,37939,32284,30874,37590,34079,35715,35959,31568,34469,31285,183228,181918,182520,170168,191876,171507,179121,161387,156751,147925,152485,137964,140680,142258,133447,147984,142640,139246,148195,141151
SAH,108552,95933,85585,99408,87559,90651,68597,68102,76186,59169,65338,73998,56324,44692,49821,50109,43318,51101,53480,48429,72459,55621,52607,36378,45741,33314,46732,29236,42640,36816,33626,21977,28178,23620,25140,32344,40230,39852,24028,29241
Cholecalciferol,72295,72889,72895,69840,71900,74401,82364,83161,84209,82653,86671,77692,78798,78263,78816,74730,77744,70602,72801,66809,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ergocalciferol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-Adenosylmethionine (SAM),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thiamine pyrophosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Folic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vitamin K1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Biliverdin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NAD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Methylcobalamin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cyanocobalamin (Vitamin B12),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NADPH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thyroxine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FAD,51699,46626,36829,49379,40210,41867,42564,38686,56735,37464,39873,34122,31761,40469,20461,33432,35477,35115,37139,30734,140195,168984,142307,161873,123188,143322,120416,124704,122718,112997,120640,89322,131590,107360,107570,98018,112188,117974,91878,122680
Adenosylcobalamin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ubiquinol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malondialdehyde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycolic acid,13320,13909,14736,13114,13023,12346,14628,14208,14898,14606,14870,12386,11842,13026,11285,14704,15364,15404,12245,12047,17117,15895,14042,15085,13790,13834,13016,15033,12184,13143,13271,12674,12570,13835,14370,12868,12076,12968,13469,13602
Pyruvate,146435,134290,154009,140644,144787,146009,155179,158441,139311,136173,145183,146746,152868,132623,150327,141525,129513,146058,143754,145112,611995,604249,573596,583346,612623,551242,588523,597261,595750,586499,579897,546480,583061,581529,575404,532140,573588,558422,569113,547547
Lactate,71827374,71875267,73885333,73599206,72066845,74096737,72015912,71021990,70019386,67805999,69202549,66746219,69152811,68868253,69515385,69179641,66721217,67810726,67342095,66910978,35177604,34474476,36089171,35646140,35788186,37313189,35611900,35533489,35915227,34120058,34706992,33042928,34685135,34304188,35161133,34450676,33788687,33733643,34228513,34073909
Glyceraldehyde,618873,690289,704373,717797,671018,660091,651650,614329,660513,583067,619504,573638,593969,595864,574565,611656,552691,558456,551878,532663,807921,751381,805133,798440,744083,794175,675277,729774,734358,708932,664913,646841,676671,664147,654066,633473,639944,590152,612637,602858
3-Hydroxypropionic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
